    (845.893269082204483,0.000000000000000)  (-100.550024504036955,-85.787940766426345) (-353.355841971576524,-156.559005968810879) (-275.207846640354944,-106.541720134767957) (-340.726079833623203,-258.808865675486345)     (-74.987774782460178,1.668347404758066)   (-465.682917646921908,16.306089949789126)
  (-100.550024504036955,85.787940766426345)    (-118.776729809523388,0.000000000000000)    (-25.554066365968502,48.371397220197238)  (-65.823640883013340,-161.873095136555207)    (33.482138647853830,-76.863138862165698)     (51.036419098325119,-8.621418251717765)  (-89.976533055483173,-264.071308915245652)
 (-353.355841971576524,156.559005968810879)   (-25.554066365968502,-48.371397220197238)    (-752.479207982978664,0.000000000000000)   (109.729767555125008,-78.343018356821176)   (697.204544436350943,-93.807364102734965)  (122.919686544246105,-326.463823895808446)  (-244.948490733484704,280.097958556250092)
 (-275.207846640354944,106.541720134767957)   (-65.823640883013340,161.873095136555207)    (109.729767555125008,78.343018356821176)     (-12.204962251423101,0.000000000000000)     (4.909628245637890,-34.831740983302979)     (49.449110995156175,88.641322957277083)  (279.995063302143194,-226.766265712065007)
 (-340.726079833623203,258.808865675486345)     (33.482138647853830,76.863138862165698)    (697.204544436350943,93.807364102734965)      (4.909628245637890,34.831740983302979)    (-321.979295843942452,0.000000000000000)   (-165.102720998247918,28.186260695950971)  (116.118245686987336,-257.654616273679721)
   (-74.987774782460178,-1.668347404758066)      (51.036419098325119,8.621418251717765)   (122.919686544246105,326.463823895808446)    (49.449110995156175,-88.641322957277083)  (-165.102720998247918,-28.186260695950971)     (-95.296214086063486,0.000000000000000)    (43.985225887862192,-28.321123597770509)
 (-465.682917646921908,-16.306089949789126)   (-89.976533055483173,264.071308915245652) (-244.948490733484704,-280.097958556250092)   (279.995063302143194,226.766265712065007)   (116.118245686987336,257.654616273679721)     (43.985225887862192,28.321123597770509)     (454.843140891726478,0.000000000000000)
    (-88.568070461424327,0.000000000000000)  (-244.883117464105254,-34.553416615252026) (-365.738338933298735,-427.863506379272224)  (-138.058697600269568,-79.076463083306109)  (501.049723994709439,-211.797522136445934)   (46.584921912065013,-171.688562852439247) (-122.625883032384863,-105.530496087686274)
  (-244.883117464105254,34.553416615252026)      (41.833320565950878,0.000000000000000)     (55.980782327643155,-5.259003802125566)   (109.819796585171019,-10.057874643597536)   (160.307406334866698,-39.024545036555153)     (0.151611427542884,-52.561543984390099)     (49.481001430126469,-3.218552974955061)
 (-365.738338933298735,427.863506379272224)      (55.980782327643155,5.259003802125566)     (207.986329789924866,0.000000000000000)    (308.672219956615095,45.837927997343947)    (425.975765120396147,26.131996419363617)   (-93.284000293205352,-85.176565344342521)   (494.162309835659357,-87.618931331186687)
