   (0.546185615719488,0.000000000000000)   (1.067813566568297,-3.632096569393699)   (1.591309978260895,-5.890170070988688)   (-1.302256832337349,6.034361138642323)  (-0.459430103633391,-4.114794761314608)  (-0.985550519957444,-2.362241326895081)  (-6.018735278017862,-1.042404080587361)
   (1.067813566568297,3.632096569393699)    (4.600664189766518,0.000000000000000)   (3.427296744585207,-1.169104418767029)  (-3.820279344615482,-0.440479163794766)    (6.029903798065601,3.286650477608398)   (-4.620807923558509,0.016347804346848)   (-6.336694211852500,5.258887428129914)
   (1.591309978260895,5.890170070988688)    (3.427296744585207,1.169104418767029)  (-15.364031728030618,0.000000000000000)    (1.056721038625066,3.152601464934494)    (7.547372242104015,8.422754807503798)   (5.916041259552481,-3.784277958656618)   (4.001713806230186,-1.219832588929959)
 (-1.302256832337349,-6.034361138642323)   (-3.820279344615482,0.440479163794766)   (1.056721038625066,-3.152601464934494)    (6.182097396528261,0.000000000000000)   (-9.475976113230164,7.192605160779181)  (-7.376864351717279,-3.839379595569469) (-12.938166917077249,-1.778791225335953)
  (-0.459430103633391,4.114794761314608)   (6.029903798065601,-3.286650477608398)   (7.547372242104015,-8.422754807503798)  (-9.475976113230164,-7.192605160779181)    (4.662096557659765,0.000000000000000) (-11.143185763171994,-2.435425673834318)   (-2.494525292525237,3.647938701019854)
  (-0.985550519957444,2.362241326895081)  (-4.620807923558509,-0.016347804346848)    (5.916041259552481,3.784277958656618)   (-7.376864351717279,3.839379595569469)  (-11.143185763171994,2.435425673834318)   (-6.550109433599057,0.000000000000000)    (9.378056466321963,0.487530969479374)
  (-6.018735278017862,1.042404080587361)  (-6.336694211852500,-5.258887428129914)    (4.001713806230186,1.219832588929959)  (-12.938166917077249,1.778791225335953)  (-2.494525292525237,-3.647938701019854)   (9.378056466321963,-0.487530969479374)    (5.923097401955599,0.000000000000000)
  (-0.415415710588365,0.000000000000000)   (3.231339813990344,-1.154658700646935)   (-2.053186905897405,1.165890316112084)   (-5.183014201205634,4.024622919086893)   (0.381117369648148,-1.114043550308887)   (9.684964354074939,-1.772105992616676)  (-0.840522402462517,-0.956254187640916)
   (3.231339813990344,1.154658700646935)   (-0.583222436289768,0.000000000000000)   (0.765296007811623,12.261221562010201)   (11.778682202166326,0.810177138783152)   (0.299582147248318,15.046724383893807)    (9.812564197271197,1.521262632931143) (-11.574451983277751,-8.076214920588694)
 (-2.053186905897405,-1.165890316112084)  (0.765296007811623,-12.261221562010201)   (-2.949508961522573,0.000000000000000)    (8.113781617267312,5.981655327781998)    (2.472672714301389,3.752915225549437)  (-0.469552424093777,11.496954286185632)  (-0.539891132244881,18.982325031209431)
 (-5.183014201205634,-4.024622919086893)  (11.778682202166326,-0.810177138783152)   (8.113781617267312,-5.981655327781998)    (9.442078188195518,0.000000000000000)   (4.913577834907985,-1.645558063224747)   (2.045711855459102,-4.430162466692325)  (-8.439644398113186,-7.932629668708611)
   (0.381117369648148,1.114043550308887)  (0.299582147248318,-15.046724383893807)   (2.472672714301389,-3.752915225549437)    (4.913577834907985,1.645558063224747)   (-3.837453743672679,0.000000000000000)   (2.640935503563087,-0.643521584156772)   (-4.484259369256381,2.675053165884533)
   (9.684964354074939,1.772105992616676)   (9.812564197271197,-1.521262632931143) (-0.469552424093777,-11.496954286185632)    (2.045711855459102,4.430162466692325)    (2.640935503563087,0.643521584156772)    (5.582901116010900,0.000000000000000)  (-13.407908523060797,4.848975607656130)
  (-0.840522402462517,0.956254187640916)  (-11.574451983277751,8.076214920588694) (-0.539891132244881,-18.982325031209431)   (-8.439644398113186,7.932629668708611)  (-4.484259369256381,-2.675053165884533) (-13.407908523060797,-4.848975607656130)   (-7.239378452132834,0.000000000000000)
   (1.800132896392879,0.000000000000000)   (-6.415304464697030,0.728697006142800)  (-1.111054175727557,10.696468167900578)   (-4.125093871564777,3.736185424944670)    (8.508327517046343,1.230423709287995)   (7.364724532608675,-0.436800833332670)  (-8.813452859165626,-0.027294786599098)
 (-6.415304464697030,-0.728697006142800)    (6.999026001414039,0.000000000000000)   (5.466584652166722,-3.389909025323161)   (5.228903504095423,-4.179092312521876)    (2.797338301769355,0.191579045221188)   (-2.486958578381787,0.345467989021589)  (-8.766378394713927,-1.956577595996838)
(-1.111054175727557,-10.696468167900578)    (5.466584652166722,3.389909025323161)    (9.504271094253617,0.000000000000000)   (-4.437578130601731,2.834603640781519)  (-2.590246791872249,-8.009747296104848)   (3.154212911592382,-6.715011858299948)    (1.081180656391861,0.161329465556179)
 (-4.125093871564777,-3.736185424944670)    (5.228903504095423,4.179092312521876)  (-4.437578130601731,-2.834603640781519)   (-8.860763714331631,0.000000000000000)  (-8.782416624494095,-4.868295126986486)   (-5.770669678621641,0.272891303836804)    (2.623621871023486,8.973499184400154)
  (8.508327517046343,-1.230423709287995)   (2.797338301769355,-0.191579045221188)   (-2.590246791872249,8.009747296104848)   (-8.782416624494095,4.868295126986486)   (-8.135199600660822,0.000000000000000)   (-6.831001491290536,1.091513205123216)  (5.583762920468485,-12.170948665380420)
   (7.364724532608675,0.436800833332670)  (-2.486958578381787,-0.345467989021589)    (3.154212911592382,6.715011858299948)  (-5.770669678621641,-0.272891303836804)  (-6.831001491290536,-1.091513205123216)   (-4.524892889808174,0.000000000000000)    (1.606819405069868,3.006886762675213)
  (-8.813452859165626,0.027294786599098)   (-8.766378394713927,1.956577595996838)   (1.081180656391861,-0.161329465556179)   (2.623621871023486,-8.973499184400154)   (5.583762920468485,12.170948665380420)   (1.606819405069868,-3.006886762675213)    (3.217426212740103,0.000000000000000)
